,Compound,Media Outlet,Negative,Neutral,Number of Tweets Ago,Positive,Time,Tweet Text
107,-0.872,@CBSNews,0.498,0.386,14,0.116,Sat Apr 21 23:29:52 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
108,-0.872,@CBSNews,0.498,0.386,15,0.116,Sat Apr 21 23:29:51 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
109,-0.872,@CBSNews,0.498,0.386,16,0.116,Sat Apr 21 23:29:48 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
110,0.128,@CBSNews,0.099,0.741,17,0.16,Sat Apr 21 23:29:47 +0000 2018,"RT @andrewjasper201: @CBSNews You don’t need a gun to protect yourself, just call 911.... what, I can’t, the operator doesn’t want to talk,…"
111,-0.872,@CBSNews,0.498,0.386,18,0.116,Sat Apr 21 23:29:45 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
112,-0.4215,@CBSNews,0.109,0.891,19,0.0,Sat Apr 21 23:29:43 +0000 2018,RT @CBSNews: A former 911 operator has been found guilty of hanging up on thousands of callers because they called at times she just didn't…
113,0.8714,@CBSNews,0.0,0.648,20,0.352,Sat Apr 21 23:29:43 +0000 2018,"RT @CBSNews: Jeb Bush on what he learned from Barbara Bush: ""Be kind, always tell the truth, never disparage anyone, serve others, treat ev…"
114,-0.872,@CBSNews,0.498,0.386,21,0.116,Sat Apr 21 23:29:41 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
115,0.0,@CBSNews,0.0,1.0,22,0.0,Sat Apr 21 23:29:41 +0000 2018,"@CBSNews OF COURSE
NOT A PAUSE ON THAT..."
116,-0.872,@CBSNews,0.498,0.386,23,0.116,Sat Apr 21 23:29:40 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
117,-0.872,@CBSNews,0.498,0.386,24,0.116,Sat Apr 21 23:29:27 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
118,-0.872,@CBSNews,0.498,0.386,25,0.116,Sat Apr 21 23:29:21 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
119,-0.872,@CBSNews,0.498,0.386,26,0.116,Sat Apr 21 23:29:18 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
120,-0.872,@CBSNews,0.498,0.386,27,0.116,Sat Apr 21 23:29:18 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
121,0.7269,@CBSNews,0.076,0.643,28,0.281,Sat Apr 21 23:29:13 +0000 2018,RT @CBSNews: NFL quarterback Colin Kaepernick has been honored by Amnesty International for his peaceful protests against racial inequality…
122,-0.872,@CBSNews,0.498,0.386,29,0.116,Sat Apr 21 23:29:09 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
123,0.0,@CBSNews,0.0,1.0,30,0.0,Sat Apr 21 23:29:06 +0000 2018,"RT @CBSNews: Danny Farquhar, Chicago White Sox pitcher, has brain hemorrhage during game https://t.co/cQX2ugZwIJ https://t.co/4udZPhkZ9P"
124,0.0,@CBSNews,0.0,1.0,31,0.0,Sat Apr 21 23:29:00 +0000 2018,@GregSherrow @frontlinepbs @PBS @NPR @60Minutes @MeetThePress @MSNBC @latimes @nytimes @washingtonpost @sfchronicle… https://t.co/kdQv8ppHOn
